CLUES,UNIDAD,REGION,MUNICIPIO,NIVEL
HGIMB000151,HOSPITAL GENERAL ACTOPAN,ACTOPAN,ACTOPAN,2
HGIMB000163,ACTOPAN,ACTOPAN,ACTOPAN,1
HGIMB000175,BOXAXNI,ACTOPAN,ACTOPAN,1
HGIMB000180,BOXTHA,ACTOPAN,ACTOPAN,1
HGIMB000192,CAÑADA CHICA ANTIGUA,ACTOPAN,ACTOPAN,1
HGIMB000204,CHICAVASCO,ACTOPAN,ACTOPAN,1
HGIMB000216,DAJIEDHI,ACTOPAN,ACTOPAN,1
HGIMB000221,LA ESTANCIA,ACTOPAN,ACTOPAN,1
HGIMB000233,HUAXTHO,ACTOPAN,ACTOPAN,1
HGIMB000245,SANTA MARÍA MAGDALENA,ACTOPAN,ACTOPAN,1
HGIMB000250,SAN ANDRÉS TIANGUISTENGO,ACTOPAN,ACTOPAN,1
HGIMB004182,CAÑADA CHICA AVIACION,ACTOPAN,ACTOPAN,1
HGIMB004421,VICENTE GUERRERO,ACTOPAN,AJACUBA,1
HGIMB004626,CENTRO DE SALUD SAN NICOLÁS TECOMATLÁN,ACTOPAN,AJACUBA,1
HGIMB004701,AJACUBA,ACTOPAN,AJACUBA,1
HGIMB000373,ARENAL,ACTOPAN,EL ARENAL,1
HGIMB000385,OJO DE AGUA SAN JOSÉ TEPENENE,ACTOPAN,EL ARENAL,1
HGIMB000390,RINCÓN,ACTOPAN,EL ARENAL,1
HGIMB000402,SAN JOSÉ TEPENENE TEPENENE,ACTOPAN,EL ARENAL,1
HGIMB004433,EL JIADI,ACTOPAN,EL ARENAL,1
HGIMB001102,TEPATEPEC,ACTOPAN,FRANCISCO I. MADERO,1
HGIMB001114,DENGANTZHA,ACTOPAN,FRANCISCO I. MADERO,1
HGIMB001126,LÁZARO CÁRDENAS COLONIA EL MEXE,ACTOPAN,FRANCISCO I. MADERO,1
HGIMB001131,EL ROSARÍO,ACTOPAN,FRANCISCO I. MADERO,1
HGIMB001143,SAN JUAN TEPA,ACTOPAN,FRANCISCO I. MADERO,1
HGIMB001966,CENTRO DE SALUD TAXHUADA,ACTOPAN,MIXQUIAHUALA DE JUÁREZ,1
HGIMB001971,CAÑADA,ACTOPAN,MIXQUIAHUALA DE JUÁREZ,1
HGIMB001983,JAGUEY BLANCO,ACTOPAN,MIXQUIAHUALA DE JUÁREZ,1
HGIMB001995,MOTOBATHA,ACTOPAN,MIXQUIAHUALA DE JUÁREZ,1
